"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 30, 2021","0.008846","0.008849","0.008946","0.008621","188.11K","0.00%"
"Sep 29, 2021","0.008846","0.008119","0.008882","0.008055","303.69K","8.95%"
"Sep 28, 2021","0.008119","0.007954","0.008187","0.007935","122.41K","2.02%"
"Sep 27, 2021","0.007958","0.007972","0.008079","0.007884","122.38K","-0.21%"
"Sep 26, 2021","0.007975","0.008193","0.008205","0.007763","257.72K","-2.67%"
"Sep 25, 2021","0.008194","0.008295","0.008420","0.008164","142.32K","-1.24%"
"Sep 24, 2021","0.008297","0.008548","0.008567","0.008147","220.03K","-2.92%"
"Sep 23, 2021","0.008547","0.008698","0.008698","0.008497","153.06K","-1.77%"
"Sep 22, 2021","0.008701","0.008453","0.008739","0.008364","165.60K","2.91%"
"Sep 21, 2021","0.008455","0.008466","0.008662","0.008412","163.85K","-0.05%"
"Sep 20, 2021","0.008459","0.008646","0.008663","0.008365","188.63K","-2.17%"
"Sep 19, 2021","0.008647","0.008507","0.008800","0.008485","101.98K","1.68%"
"Sep 18, 2021","0.008504","0.008597","0.008651","0.008504","144.50K","-1.02%"
"Sep 17, 2021","0.008592","0.008890","0.008894","0.008534","168.60K","-3.31%"
"Sep 16, 2021","0.008886","0.008960","0.008989","0.008809","161.81K","-0.79%"
"Sep 15, 2021","0.008957","0.008801","0.009081","0.008722","188.62K","1.75%"
"Sep 14, 2021","0.008803","0.008882","0.008892","0.008639","188.40K","-0.88%"
"Sep 13, 2021","0.008881","0.009043","0.009075","0.008774","195.12K","-1.88%"
"Sep 12, 2021","0.009051","0.008957","0.009142","0.008891","153.70K","0.90%"
"Sep 11, 2021","0.008970","0.008949","0.009091","0.008903","124.83K","0.27%"
"Sep 10, 2021","0.008946","0.009083","0.009358","0.008792","214.92K","-1.50%"
"Sep 09, 2021","0.009082","0.009016","0.009244","0.008837","214.14K","0.87%"
"Sep 08, 2021","0.009004","0.008934","0.009071","0.008620","278.46K","0.93%"
"Sep 07, 2021","0.008921","0.009419","0.009580","0.008463","524.00K","-5.29%"
"Sep 06, 2021","0.009419","0.009758","0.009819","0.009399","191.11K","-3.38%"
"Sep 05, 2021","0.009749","0.009969","0.009973","0.009707","193.23K","-2.18%"
"Sep 04, 2021","0.009966","0.009767","0.010147","0.009713","229.53K","2.05%"
"Sep 03, 2021","0.009766","0.009823","0.009895","0.009672","198.82K","-0.51%"
"Sep 02, 2021","0.009816","0.010032","0.010285","0.009693","229.31K","-2.11%"
"Sep 01, 2021","0.010028","0.009842","0.010138","0.009758","207.83K","1.80%"
"Aug 31, 2021","0.009851","0.009792","0.009986","0.009670","222.14K","0.62%"
"Aug 30, 2021","0.009790","0.009836","0.009987","0.009758","164.87K","-0.50%"
"Aug 29, 2021","0.009839","0.009943","0.010078","0.009790","122.41K","-1.04%"
"Aug 28, 2021","0.009942","0.010078","0.010099","0.009923","94.83K","-1.34%"
"Aug 27, 2021","0.010077","0.010211","0.010268","0.010016","169.80K","-1.22%"
"Aug 26, 2021","0.010201","0.010274","0.010527","0.010158","253.51K","-0.73%"
"Aug 25, 2021","0.010276","0.009890","0.010399","0.009890","235.99K","3.89%"
"Aug 24, 2021","0.009891","0.010082","0.010154","0.009655","218.78K","-1.95%"
"Aug 23, 2021","0.010088","0.009110","0.010266","0.009075","385.34K","10.75%"
"Aug 22, 2021","0.009109","0.009191","0.009311","0.009059","133.50K","-0.84%"
"Aug 21, 2021","0.009186","0.009223","0.009406","0.009087","180.14K","-0.40%"
"Aug 20, 2021","0.009223","0.009219","0.009313","0.009029","196.78K","-0.02%"
"Aug 19, 2021","0.009225","0.008870","0.009322","0.008836","240.71K","4.03%"
"Aug 18, 2021","0.008868","0.008981","0.009054","0.008716","162.66K","-1.39%"
"Aug 17, 2021","0.008993","0.009055","0.009271","0.008976","198.81K","-0.76%"
"Aug 16, 2021","0.009062","0.008817","0.009239","0.008675","236.61K","2.79%"
"Aug 15, 2021","0.008816","0.008693","0.008816","0.008611","135.56K","1.50%"
"Aug 14, 2021","0.008686","0.008590","0.008783","0.008522","151.65K","1.05%"
"Aug 13, 2021","0.008596","0.008688","0.008809","0.008457","166.42K","-1.01%"
"Aug 12, 2021","0.008684","0.008587","0.008809","0.008415","181.55K","0.99%"
"Aug 11, 2021","0.008599","0.008161","0.008744","0.008161","212.20K","5.38%"
"Aug 10, 2021","0.008160","0.007657","0.008228","0.007631","202.96K","6.54%"
"Aug 09, 2021","0.007659","0.007808","0.007901","0.007646","129.87K","-1.92%"
"Aug 08, 2021","0.007809","0.007992","0.008023","0.007740","112.44K","-2.29%"
"Aug 07, 2021","0.007992","0.007989","0.008145","0.007972","178.84K","-0.01%"
"Aug 06, 2021","0.007993","0.008272","0.008397","0.007954","178.57K","-3.34%"
"Aug 05, 2021","0.008269","0.008429","0.008674","0.008219","165.12K","-1.87%"
"Aug 04, 2021","0.008427","0.008464","0.008527","0.008390","86.87K","-0.43%"
"Aug 03, 2021","0.008463","0.008443","0.008479","0.008342","114.74K","0.23%"
